Id,Label,timeset,state,totalmig,totalnonmig,population,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,Authority,Hub,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
1001,Autauga County,,AL,5037,51544,56581,11,14,25,2871,2683,5554,6,0.325618,0.343611,294.933329,0,0.002016,0.003636,18,0.000192,30,0.470588,0.015433
1003,Baldwin County,,AL,9172,156087,165259,39,27,66,6397,4348,10745,6,0.352941,0.37722,4735.39687,0,0.013418,0.010171,18,0.00056,30,0.452381,0.097517
1005,Barbour County,,AL,1907,28251,30158,9,10,19,735,836,1571,7,0.287158,0.300992,5982.280752,0,0.000444,0.000608,18,0.000276,30,0.433333,0.003413
1007,Bibb County,,AL,1532,21321,22853,4,4,8,907,1004,1911,6,0.288215,0.301058,1.334921,0,0.000599,0.000498,18,0.000108,30,0.833333,0.00401
1009,Blount County,,AL,3275,54610,57885,7,8,15,2906,2255,5161,6,0.288674,0.302076,5.163337,0,0.000571,0.000497,18,0.000157,30,0.642857,0.004235
1011,Bullock County,,AL,726,10223,10949,4,3,7,264,348,612,7,0.278066,0.289536,1.166667,0,0.000264,0.000217,18,0.000125,30,0.666667,0.002035
1013,Butler County,,AL,1186,22687,23873,5,6,11,312,464,776,7,0.278226,0.290226,378.15417,0,0.000519,0.000236,18,0.000142,30,0.452381,0.003689
1015,Calhoun County,,AL,7136,131396,138532,22,25,47,3511,3580,7091,6,0.318847,0.339027,9388.018756,0,0.002646,0.005627,18,0.000427,30,0.386243,0.019955
1017,Chambers County,,AL,2517,43441,45958,7,8,15,1431,1516,2947,6,0.307872,0.322757,250.921929,0,0.000753,0.001096,18,0.000173,30,0.5,0.005454
1019,Cherokee County,,AL,1319,24800,26119,6,6,12,812,774,1586,7,0.245095,0.254778,43.686776,0,0.000107,0.000114,18,0.00018,30,0.4,0.001468
1021,Chilton County,,AL,1982,40063,42045,7,9,16,1417,1093,2510,6,0.290439,0.304515,14.359391,0,0.000861,0.000823,18,0.000144,30,0.611111,0.005779
1023,Choctaw County,,AL,829,16677,17506,2,6,8,101,344,445,6,0.289539,0.303364,885.2174,0,0.00031,0.000629,18,0.000076,30,0.366667,0.002169
1025,Clarke County,,AL,1584,30853,32437,6,8,14,595,782,1377,6,0.291286,0.305584,613.70901,0,0.000355,0.000905,18,0.00018,30,0.464286,0.003046
1027,Clay County,,AL,897,16545,17442,4,4,8,431,419,850,7,0.241944,0.25067,2.306359,0,0.000064,0.000043,18,0.00012,30,0.666667,0.000744
1029,Cleburne County,,AL,807,14460,15267,4,3,7,559,465,1024,7,0.24245,0.251363,3.496663,0,0.000088,0.000075,18,0.000133,30,0.666667,0.001001
1031,Coffee County,,AL,5153,44364,49517,19,17,36,2563,2445,5008,6,0.32694,0.346112,2313.589256,0,0.005761,0.004758,18,0.000292,30,0.456522,0.040085
1033,Colbert County,,AL,3430,59795,63225,7,8,15,2020,2094,4114,6,0.289945,0.303594,1135.246128,0,0.000324,0.000699,18,0.000171,30,0.541667,0.003157
