id,label,timeset,state,totalMig,totalNonMig,population,unemployment
1001,Autauga County,,AL,5373,53344,58717,4.6
1003,Baldwin County,,AL,8762,161762,170524,4.5
1005,Barbour County,,AL,1890,27671,29561,6.4
1007,Bibb County,,AL,1286,21383,22669,5.4
1009,Blount County,,AL,3360,56145,59505,4.2
1011,Bullock County,,AL,641,10008,10649,10.0
1013,Butler County,,AL,1057,22431,23488,7.9
1015,Calhoun County,,AL,6863,130537,137400,5.4
1017,Chambers County,,AL,2280,42351,44631,5.8
1019,Cherokee County,,AL,1290,24433,25723,4.4
1021,Chilton County,,AL,1931,40711,42642,4.5
1023,Choctaw County,,AL,714,15914,16628,9.1
1025,Clarke County,,AL,1385,30083,31468,7.8
1027,Clay County,,AL,874,16341,17215,6.6
1029,Cleburne County,,AL,990,14413,15403,5.5
1031,Coffee County,,AL,4784,46174,50958,5.0
1033,Colbert County,,AL,3099,58791,61890,6.8
1035,Conecuh County,,AL,878,14165,15043,7.8
1037,Coosa County,,AL,1181,12950,14131,7.4
1039,Covington County,,AL,1759,37611,39370,6.3
1041,Crenshaw County,,AL,1011,15326,16337,6.2
1043,Cullman County,,AL,3636,82848,86484,5.3
1045,Dale County,,AL,7924,47232,55156,4.8
1047,Dallas County,,AL,2341,47663,50004,10.3
1049,DeKalb County,,AL,3729,71920,75649,5.2
1051,Elmore County,,AL,5786,74290,80076,4.6
1053,Escambia County,,AL,1982,37132,39114,7.8
1055,Etowah County,,AL,5096,105121,110217,5.9
1057,Fayette County,,AL,1109,21498,22607,6.3
1059,Franklin County,,AL,1829,31555,33384,8.7
1061,Geneva County,,AL,1701,25121,26822,5.1
1063,Greene County,,AL,565,9631,10196,7.7
1065,Hale County,,AL,1201,18333,19534,7.7
1067,Henry County,,AL,1220,17962,19182,5.2
1069,Houston County,,AL,6435,98600,105035,4.4
1071,Jackson County,,AL,2765,57427,60192,6.4
1073,Jefferson County,,AL,36739,720223,756962,5.0
1075,Lamar County,,AL,860,16320,17180,8.0
1077,Lauderdale County,,AL,4468,93422,97890,6.6
1079,Lawrence County,,AL,1977,37266,39243,6.1
1081,Lee County,,AL,9582,110285,119867,4.2
1083,Limestone County,,AL,3991,74077,78068,5.0
1085,Lowndes County,,AL,1066,13417,14483,8.4
1087,Macon County,,AL,1480,20805,22285,6.4
1089,Madison County,,AL,16429,328841,345270,4.3
1091,Marengo County,,AL,1127,23363,24490,5.7
1093,Marion County,,AL,1362,25523,26885,6.5
1095,Marshall County,,AL,5248,83663,88911,5.1
1097,Mobile County,,AL,16662,420864,437526,6.3
1099,Monroe County,,AL,1121,25468,26589,7.6
1101,Montgomery County,,AL,17720,237434,255154,5.3
1103,Morgan County,,AL,7065,123721,130786,5.9
1105,Perry County,,AL,587,9904,10491,9.7
1107,Pickens County,,AL,1040,21701,22741,7.4
1109,Pike County,,AL,1933,26871,28804,5.3
1111,Randolph County,,AL,1101,22201,23302,6.8
1113,Russell County,,AL,4938,49164,54102,6.8
1115,St. Clair County,,AL,4363,65262,69625,4.7
1117,Shelby County,,AL,13739,165608,179347,3.2
1119,Sumter County,,AL,794,13835,14629,9.2
1121,Talladega County,,AL,3994,78308,82302,7.0
1123,Tallapoosa County,,AL,2113,39732,41845,6.3
1125,Tuscaloosa County,,AL,9165,169138,178303,4.4
1127,Walker County,,AL,2975,67519,70494,5.9
1129,Washington County,,AL,1015,17960,18975,9.5
1131,Wilcox County,,AL,720,12850,13570,11.3
1133,Winston County,,AL,1358,24665,26023,8.6
2013,Aleutians East Borough,,AK,330,1601,1931,9.6
2016,Aleutians West Census Area,,AK,787,4227,5014,6.3
2020,Anchorage Municipality,,AK,26299,291015,317314,6.2
2050,Bethel Census Area,,AK,929,16466,17395,12.0
2060,Bristol Bay Borough,,AK,185,1243,1428,6.1
2068,Denali Borough,,AK,402,2115,2517,8.6
2070,Dillingham Census Area,,AK,379,4597,4976,11.0
2090,Fairbanks North Star Borough,,AK,12937,93604,106541,6.9
2100,Haines Borough,,AK,242,2609,2851,11.5
2105,Hoonah-Angoon Census Area,,AK,0,0,0,11.7
2110,Juneau City and Borough,,AK,2923,34774,37697,5.7
2122,Kenai Peninsula Borough,,AK,3875,54281,58156,10.0
2130,Ketchikan Gateway Borough,,AK,1492,14433,15925,8.0
2150,Kodiak Island Borough,,AK,1870,14961,16831,9.6
2164,Lake and Peninsula Borough,,AK,164,1457,1621,8.0
2170,Matanuska-Susitna Borough,,AK,4715,68533,73248,8.6
