Id,Label,timeset,state,totalmig,totalnonmig,population,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1001,Autauga County,,AL,5500,50963,56463,26,24,50,15273,13454,28727,6,0.358729,0.379788,1367.395311,0.005639,0.005927,0,0.000291,0,14,0.528736,0.050987
1003,Baldwin County,,AL,9469,164112,173581,87,65,152,34962,22600,57562,5,0.39186,0.419485,11848.623873,0.0219,0.016642,0,0.000844,0,14,0.438828,0.190674
1005,Barbour County,,AL,1793,26722,28515,11,13,24,2803,3978,6781,6,0.313537,0.326787,6249.952732,0.001187,0.000928,0,0.000219,0,14,0.494505,0.010894
1007,Bibb County,,AL,1292,21074,22366,5,4,9,4233,3898,8131,6,0.309085,0.32019,0.431995,0.000505,0.000486,0,0.000102,0,14,0.8,0.004655
1009,Blount County,,AL,3244,52978,56222,11,13,24,12310,9822,22132,6,0.310812,0.323729,3.34771,0.000828,0.001008,0,0.00018,0,14,0.813187,0.008656
1011,Bullock County,,AL,535,8482,9017,4,4,8,962,1273,2235,6,0.298371,0.309504,0.988095,0.00023,0.000198,0,0.000097,0,14,0.75,0.001999
1013,Butler County,,AL,1032,21695,22727,6,10,16,1715,2227,3942,6,0.311521,0.323757,31.488824,0.000554,0.000668,0,0.000118,0,14,0.618182,0.004912
1015,Calhoun County,,AL,6303,122844,129147,36,33,69,14642,15494,30136,6,0.339243,0.35972,4256.312666,0.006007,0.005614,0,0.000446,0,14,0.45061,0.054987
1017,Chambers County,,AL,2189,38853,41042,9,10,19,5374,6483,11857,6,0.323707,0.338538,77.02125,0.000564,0.001314,15,0.000158,0,14,0.627273,0.005046
1019,Cherokee County,,AL,1263,24613,25876,9,7,16,3400,3275,6675,6,0.309627,0.321438,33.799099,0.000654,0.000415,0,0.000163,0,14,0.577778,0.007272
1021,Chilton County,,AL,2099,41436,43535,9,13,22,6342,6051,12393,6,0.312656,0.325866,10.365774,0.000777,0.00114,0,0.000154,0,14,0.807692,0.007117
1023,Choctaw County,,AL,862,15327,16189,6,8,14,635,1065,1700,6,0.310491,0.322881,19.266286,0.00025,0.000585,0,0.000126,0,14,0.597222,0.002444
1025,Clarke County,,AL,1424,29524,30948,10,10,20,2490,3267,5757,6,0.312299,0.32495,48.185568,0.000894,0.000863,0,0.000165,0,14,0.622222,0.008202
1027,Clay County,,AL,810,15637,16447,6,6,12,1729,2086,3815,6,0.309213,0.320661,20.338523,0.000349,0.000336,0,0.000132,0,14,0.733333,0.003423
1029,Cleburne County,,AL,962,14117,15079,5,5,10,2563,2249,4812,7,0.255442,0.264856,5.690188,0.000084,0.000109,15,0.000121,0,14,0.55,0.001372
1031,Coffee County,,AL,4846,44757,49603,27,26,53,11450,10474,21924,6,0.349587,0.369324,1141.976436,0.005878,0.004997,0,0.000292,0,14,0.529356,0.052587
1033,Colbert County,,AL,3165,58520,61685,12,11,23,8607,8661,17268,6,0.321731,0.335597,469.233015,0.001115,0.001184,0,0.000216,0,14,0.576923,0.010869
1035,Conecuh County,,AL,838,14027,14865,7,9,16,1730,2177,3907,6,0.314588,0.328024,4.964252,0.000531,0.001143,0,0.000117,0,14,0.819444,0.005013
