id,label,timeset,state,totalMig,totalNonMig,population,poverty
1001,Autauga County,,AL,5500,50963,56463,11.6
1003,Baldwin County,,AL,9469,164112,173581,10.0
1005,Barbour County,,AL,1793,26722,28515,23.9
1007,Bibb County,,AL,1292,21074,22366,17.1
1009,Blount County,,AL,3244,52978,56222,12.4
1011,Bullock County,,AL,535,8482,9017,30.3
1013,Butler County,,AL,1032,21695,22727,21.0
1015,Calhoun County,,AL,6303,122844,129147,16.9
1017,Chambers County,,AL,2189,38853,41042,17.2
1019,Cherokee County,,AL,1263,24613,25876,16.1
1021,Chilton County,,AL,2099,41436,43535,14.8
1023,Choctaw County,,AL,862,15327,16189,20.2
1025,Clarke County,,AL,1424,29524,30948,20.9
1027,Clay County,,AL,810,15637,16447,13.9
1029,Cleburne County,,AL,962,14117,15079,14.7
1031,Coffee County,,AL,4846,44757,49603,14.2
1033,Colbert County,,AL,3165,58520,61685,14.7
1035,Conecuh County,,AL,838,14027,14865,23.1
1037,Coosa County,,AL,1065,11486,12551,14.0
1039,Covington County,,AL,1598,33537,35135,18.7
1041,Crenshaw County,,AL,863,14396,15259,18.6
1043,Cullman County,,AL,3783,81550,85333,13.8
1045,Dale County,,AL,7998,47748,55746,16.7
1047,Dallas County,,AL,2348,46412,48760,27.4
1049,DeKalb County,,AL,3362,68337,71699,15.8
1051,Elmore County,,AL,5790,74223,80013,12.5
1053,Escambia County,,AL,2123,37035,39158,20.1
1055,Etowah County,,AL,5156,108127,113283,16.1
1057,Fayette County,,AL,816,18325,19141,17.4
1059,Franklin County,,AL,1639,31047,32686,17.8
1061,Geneva County,,AL,1666,25209,26875,18.1
1063,Greene County,,AL,543,9364,9907,26.5
1065,Hale County,,AL,940,17640,18580,22.0
1067,Henry County,,AL,1256,17472,18728,17.1
1069,Houston County,,AL,6343,99907,106250,15.8
1071,Jackson County,,AL,2668,56944,59612,15.3
1073,Jefferson County,,AL,37782,704651,742433,15.4
1075,Lamar County,,AL,876,15853,16729,16.8
1077,Lauderdale County,,AL,4673,93163,97836,16.2
1079,Lawrence County,,AL,1889,36719,38608,14.7
1081,Lee County,,AL,9606,114096,123702,16.0
1083,Limestone County,,AL,3810,73410,77220,12.7
1085,Lowndes County,,AL,947,13925,14872,25.5
1087,Macon County,,AL,1523,21524,23047,28.3
1089,Madison County,,AL,16834,333999,350833,11.7
