Source,Target,Type,id,label,timeset,weight
6037,6071,Directed,5149,,,227596
6037,6059,Directed,5148,,,215138
12086,12011,Directed,15969,,,199679
6059,6037,Directed,6169,,,170979
12011,12086,Directed,13277,,,151970
6071,6037,Directed,7182,,,151723
6071,6065,Directed,7183,,,140522
48201,48157,Directed,71038,,,139936
36047,36081,Directed,49807,,,130673
6037,6065,Directed,5150,,,129934
36061,36047,Directed,50551,,,120474
26163,26125,Directed,38644,,,116903
48113,48439,Directed,69622,,,115280
17031,17043,Directed,23783,,,113777
48113,48085,Directed,69621,,,111615
6065,6071,Directed,6628,,,108719
48439,48113,Directed,73181,,,104449
36061,36005,Directed,50552,,,101810
48157,48201,Directed,70615,,,100577
36081,36047,Directed,51334,,,99422
13121,13089,Directed,20612,,,98926
6059,6065,Directed,6170,,,98318
13089,13121,Directed,20106,,,97185
17043,17031,Directed,24400,,,95184
24510,24005,Directed,34837,,,94428
8031,8005,Directed,10211,,,90004
48453,48491,Directed,73735,,,88546
53033,53061,Directed,79256,,,87439
29510,29189,Directed,43636,,,86969
4013,4021,Directed,1939,,,85871
48085,48113,Directed,69283,,,85173
6001,6013,Directed,4176,,,83845
8005,8031,Directed,9846,,,83315
48113,48121,Directed,69623,,,82821
25025,25017,Directed,35995,,,82632
36081,36059,Directed,51335,,,82598
48201,48339,Directed,71039,,,82565
26125,26163,Directed,37881,,,81179
6065,6059,Directed,6629,,,80761
36047,36061,Directed,49808,,,80534
6065,6037,Directed,6630,,,80518
36005,36061,Directed,48950,,,75400
26163,26099,Directed,38645,,,74812
29189,29510,Directed,43264,,,73054
53061,53033,Directed,80112,,,72702
4021,4013,Directed,2979,,,72453
24005,24510,Directed,33636,,,72435
6073,6065,Directed,7502,,,72210
12095,12117,Directed,16544,,,71913
12011,12099,Directed,13278,,,71530
17031,17197,Directed,23784,,,70767
53033,53053,Directed,79257,,,70591
48491,48453,Directed,74327,,,69171
12117,12095,Directed,18497,,,68419
36061,36081,Directed,50553,,,67345
25017,25025,Directed,35481,,,67337
13089,13135,Directed,20107,,,66679
53053,53033,Directed,79809,,,64536
48121,48113,Directed,70058,,,64458
6013,6001,Directed,4509,,,61237
12099,12011,Directed,17027,,,59832
48339,48201,Directed,72443,,,59798
17031,17097,Directed,23785,,,58340
6037,6073,Directed,5151,,,57763
6037,6111,Directed,5152,,,57754
36081,36061,Directed,51336,,,57109
6065,6073,Directed,6631,,,57032
51059,51153,Directed,76002,,,56930
26099,26125,Directed,37522,,,56445
6075,6081,Directed,8114,,,55838
6085,6001,Directed,8682,,,55558
25025,25021,Directed,35996,,,54688
11001,24033,Directed,12611,,,54255
17197,17031,Directed,25989,,,54085
27123,27053,Directed,40140,,,53818
36059,36103,Directed,50353,,,52890
27053,27123,Directed,39471,,,52856
8031,8059,Directed,10212,,,52694
51059,51107,Directed,76003,,,51738
13067,13121,Directed,19686,,,51528
6073,6037,Directed,7503,,,51397
13121,13067,Directed,20613,,,50504
12095,12097,Directed,16545,,,50419
6067,6061,Directed,6933,,,50319
