Id,Label,timeset,state,totalmig,totalnonmig,population,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,Authority,Hub,clustering,eigencentrality
1001,Autauga County,,AL,5397,57114,62511,14,15,29,3383,3126,6509,6,0.330778,0.350415,557.493837,0.000272,20,0.003403,0.005301,0.555556,0.026481
1003,Baldwin County,,AL,10197,189665,199862,52,33,85,7778,4828,12606,6,0.354289,0.37958,6087.344866,0.000806,20,0.019073,0.011762,0.381169,0.140132
1005,Barbour County,,AL,1721,25599,27320,9,9,18,741,978,1719,7,0.284519,0.29828,6021.599525,0.000281,20,0.000787,0.000654,0.444444,0.006241
1007,Bibb County,,AL,1437,21520,22957,5,4,9,991,985,1976,6,0.288264,0.30083,2.843637,0.000138,20,0.000588,0.000566,0.7,0.004685
1009,Blount County,,AL,3363,59326,62689,7,7,14,2602,2434,5036,6,0.288178,0.30109,1.779304,0.00016,20,0.000578,0.000542,0.761905,0.004723
1011,Bullock County,,AL,562,9210,9772,4,4,8,325,323,648,7,0.273847,0.285239,2.761111,0.000142,20,0.000253,0.000202,0.666667,0.001912
1013,Butler County,,AL,1075,21975,23050,4,5,9,425,427,852,7,0.273925,0.285527,140.456452,0.000134,20,0.000256,0.000199,0.4,0.001873
1015,Calhoun County,,AL,6273,127547,133820,18,22,40,3307,3440,6747,6,0.308901,0.326986,8147.255255,0.000352,20,0.002904,0.003276,0.405797,0.022877
1017,Chambers County,,AL,2220,36460,38680,5,5,10,1275,1407,2682,7,0.274236,0.286075,47.652799,0.000134,20,0.000445,0.000309,0.666667,0.003528
1019,Cherokee County,,AL,1106,24981,26087,6,5,11,780,579,1359,7,0.248924,0.258999,44.543855,0.000152,20,0.000103,0.000081,0.366667,0.001222
1021,Chilton County,,AL,2376,45292,47668,8,7,15,1656,1418,3074,6,0.290028,0.303177,10.09353,0.000189,20,0.000837,0.000739,0.642857,0.006343
1023,Choctaw County,,AL,604,14515,15119,2,3,5,117,166,283,7,0.274367,0.286375,4.757947,0.000081,58,0.000274,0.000332,0.333333,0.002202
1025,Clarke County,,AL,1417,29153,30570,6,8,14,524,774,1298,7,0.278329,0.29169,50.1188,0.000175,20,0.000494,0.000664,0.482143,0.003858
1027,Clay County,,AL,1030,15316,16346,5,5,10,389,585,974,7,0.236386,0.244783,5.299183,0.000139,20,0.00005,0.000043,0.6,0.000863
1029,Cleburne County,,AL,963,14933,15896,5,5,10,635,631,1266,7,0.238413,0.247758,14.11083,0.000141,20,0.000081,0.000073,0.55,0.001062
1031,Coffee County,,AL,5815,49102,54917,24,24,48,3146,3029,6175,6,0.329722,0.350847,3172.277916,0.000381,20,0.007011,0.006827,0.46798,0.053379
1033,Colbert County,,AL,3074,60828,63902,8,7,15,2165,1833,3998,6,0.289999,0.303436,1132.349018,0.000204,20,0.000771,0.000762,0.660714,0.006466
1035,Conecuh County,,AL,674,13319,13993,4,2,6,281,247,528,8,0.222333,0.228978,2.683067,0.000133,20,0.000035,0.000016,0.416667,0.000615
1037,Coosa County,,AL,938,10936,11874,4,3,7,691,580,1271,7,0.226514,0.233921,0.291667,0.000116,20,0.000142,0.000037,0.833333,0.001721
1039,Covington County,,AL,1881,38630,40511,11,13,24,893,936,1829,6,0.299958,0.316027,1669.88412,0.000236,20,0.001357,0.001657,0.414286,0.010502
1041,Crenshaw County,,AL,1053,14600,15653,5,6,11,519,657,1176,7,0.275228,0.287309,6.753843,0.000133,20,0.000318,0.000282,0.6,0.002458
1043,Cullman County,,AL,3648,86718,90366,12,12,24,2247,2114,4361,6,0.290378,0.30482,34.90911,0.000249,20,0.000976,0.001157,0.580952,0.008621
1045,Dale County,,AL,7362,48837,56199,25,28,53,3767,4314,8081,6,0.336554,0.359991,7408.746552,0.00042,20,0.007774,0.009256,0.517137,0.059987
1047,Dallas County,,AL,1948,45549,47497,10,10,20,905,1034,1939,6,0.29149,0.305823,112.270017,0.000238,20,0.001012,0.001196,0.522727,0.007736
1049,DeKalb County,,AL,3726,72709,76435,9,11,20,2102,2038,4140,6,0.291314,0.306134,1223.862335,0.000231,20,0.00098,0.001081,0.445455,0.008376
1051,Elmore County,,AL,6744,85068,91812,17,14,31,5149,4242,9391,6,0.291991,0.307177,1930.930537,0.000363,20,0.002418,0.0016,0.426901,0.019941
1053,Escambia County,,AL,1761,38034,39795,6,8,14,1004,1064,2068,7,0.285785,0.300147,2449.157518,0.00019,20,0.000986,0.001275,0.589286,0.008392
1055,Etowah County,,AL,4727,109847,114574,13,16,29,2987,2985,5972,6,0.324176,0.343929,1649.22874,0.00026,20,0.001218,0.002715,0.558824,0.010145
1057,Fayette County,,AL,885,17421,18306,5,4,9,507,472,979,7,0.251238,0.261149,3.038492,0.000183,20,0.000074,0.000078,0.6,0.00113
1059,Franklin County,,AL,2148,34897,37045,8,9,17,1028,1209,2237,7,0.28019,0.292653,986.711607,0.000243,20,0.000045,0.000422,0.416667,0.001215
1061,Geneva County,,AL,1748,26168,27916,7,7,14,1049,1058,2107,7,0.252798,0.263591,23.187107,0.000171,20,0.000215,0.00025,0.452381,0.002566
1063,Greene County,,AL,633,9160,9793,2,3,5,188,358,546,7,0.251282,0.261033,0.333333,0.000098,20,0.000069,0.000072,0.833333,0.000744
1065,Hale County,,AL,1076,17678,18754,3,3,6,638,663,1301,7,0.251129,0.260803,0.333333,0.000117,20,0.000072,0.000072,0.833333,0.000867
1067,Henry County,,AL,1281,17642,18923,3,3,6,908,837,1745,7,0.252533,0.262466,0,0.00011,20,0.000113,0.000129,1,0.001287
1069,Houston County,,AL,7091,108103,115194,29,23,52,4682,4053,8735,6,0.305409,0.324905,12597.024362,0.000541,20,0.006955,0.003655,0.345644,0.052861
1071,Jackson County,,AL,2502,56921,59423,7,6,13,1265,1454,2719,7,0.282462,0.294988,119.030333,0.000194,20,0.000936,0.000627,0.595238,0.007904
1073,Jefferson County,,AL,35054,723318,758372,112,118,230,23793,27726,51519,5,0.404166,0.440465,98947.758713,0.00163,20,0.042735,0.049189,0.328626,0.314684
1075,Lamar County,,AL,768,15095,15863,5,4,9,419,388,807,7,0.264453,0.275194,58.202771,0.000174,20,0.000097,0.000085,0.5,0.001192
1077,Lauderdale County,,AL,4543,97676,102219,12,12,24,2339,2660,4999,6,0.305506,0.320633,5292.619311,0.000277,20,0.001584,0.001647,0.467949,0.012994
1079,Lawrence County,,AL,1888,37187,39075,7,6,13,1359,1372,2731,7,0.279783,0.291529,153.366713,0.000181,20,0.000373,0.000411,0.738095,0.003835
1081,Lee County,,AL,10898,130846,141744,41,32,73,7584,6347,13931,6,0.3392,0.363813,6037.061839,0.000668,20,0.010562,0.01028,0.378261,0.080906
1083,Limestone County,,AL,4820,88099,92919,9,13,22,4119,2985,7104,6,0.291961,0.30686,99.273342,0.000211,20,0.0009,0.001133,0.434066,0.007488
1085,Lowndes County,,AL,984,13493,14477,4,3,7,697,692,1389,7,0.273821,0.285066,2.480409,0.000128,20,0.000263,0.000193,0.666667,0.002007
