Id,Label,timeset,state,totalmig,totalnonmig,population,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1001,Autauga County,,AL,6214,58809,65023,7,10,17,3120,3339,6459,7,0.3095,0.330189,51.906246,0.000918,0.003219,0,0.000164,0,23,0.688889,0.005547
1003,Baldwin County,,AL,12310,216835,229145,34,27,61,7740,5830,13570,7,0.335021,0.360502,6819.388807,0.011898,0.011202,0,0.000621,0,23,0.417308,0.082393
1005,Barbour County,,AL,1741,24730,26471,6,7,13,759,810,1569,8,0.267907,0.282151,2885.882775,0.000227,0.000558,0,0.000201,0,23,0.416667,0.001441
1007,Bibb County,,AL,1287,20781,22068,4,4,8,1194,914,2108,8,0.272986,0.286643,1.494036,0.000645,0.000442,0,0.000119,0,23,0.916667,0.003598
1009,Blount County,,AL,3497,59562,63059,7,8,15,2627,2498,5125,8,0.273685,0.288053,6.212221,0.000609,0.00075,0,0.000175,0,23,0.714286,0.003959
1011,Bullock County,,AL,612,9577,10189,2,2,4,214,229,443,8,0.25856,0.269947,0,0.000207,0.000192,0,0.000094,0,23,1,0.001579
1013,Butler County,,AL,1097,21193,22290,3,4,7,358,440,798,8,0.258632,0.270367,492.642469,0.00021,0.000193,0,0.000136,0,23,0.4,0.001729
1015,Calhoun County,,AL,6886,122189,129075,12,19,31,3092,3815,6907,7,0.309328,0.330483,6900.338085,0.000923,0.004465,0,0.000301,0,23,0.406433,0.006836
1017,Chambers County,,AL,2828,35899,38727,5,6,11,2519,1864,4383,7,0.303583,0.321397,241.124566,0.00049,0.00179,25,0.000142,0,23,0.5,0.002981
1019,Cherokee County,,AL,1287,24214,25501,5,4,9,785,680,1465,8,0.238438,0.248229,39.995803,0.000121,0.000051,0,0.000156,0,23,0.3,0.000946
1021,Chilton County,,AL,2727,45609,48336,7,8,15,1803,1567,3370,7,0.302657,0.321175,40.35313,0.000802,0.002088,0,0.000172,0,23,0.708333,0.005216
1023,Choctaw County,,AL,665,13780,14445,1,1,2,75,84,159,8,0.244544,0.254201,0,0.000054,0.000008,0,0.000073,0,23,0,0.000188
1025,Clarke County,,AL,1512,27199,28711,5,5,10,615,718,1333,8,0.259138,0.271014,2638.300164,0.000314,0.000285,0,0.000192,0,23,0.25,0.002535
1027,Clay County,,AL,756,14565,15321,4,3,7,397,350,747,8,0.23639,0.245638,4.696122,0.000062,0.000018,0,0.000127,0,23,0.5,0.000654
1029,Cleburne County,,AL,1092,15231,16323,3,4,7,546,629,1175,8,0.237806,0.247531,4.648903,0.000107,0.000058,0,0.000104,0,23,0.666667,0.000755
1031,Coffee County,,AL,5873,51269,57142,12,13,25,2636,2472,5108,7,0.309397,0.328798,2825.555335,0.00381,0.003871,0,0.000287,0,23,0.433333,0.026543
1033,Colbert County,,AL,3685,59706,63391,6,6,12,2209,2120,4329,8,0.273874,0.288053,1120.611561,0.000715,0.000638,0,0.000191,0,23,0.766667,0.005145
1035,Conecuh County,,AL,828,12573,13401,3,3,6,346,338,684,9,0.215644,0.223423,5.469005,0.000014,0.000019,0,0.000132,0,23,0.25,0.000419
1037,Coosa County,,AL,944,9761,10705,2,2,4,561,541,1102,9,0.21791,0.225972,0,0.00002,0.000016,0,0.000089,0,23,1,0.000342
1039,Covington County,,AL,1923,38826,40749,9,6,15,911,702,1613,8,0.267726,0.281258,988.017721,0.000823,0.000459,0,0.000279,0,23,0.3,0.006318
1041,Crenshaw County,,AL,875,14395,15270,4,3,7,517,393,910,8,0.258656,0.270277,6.955304,0.000213,0.0002,0,0.000162,0,23,0.5,0.001873
